Agency,Data Source,Website,Relevance,Data Description,"Scale Level
Standard Hierarchy of Census Geographic Entities (US Census, Nov 2020) https://www2.census.gov/geo/pdfs/reference/geodiagram_islandareas.pdf",Scale Level Comments,Variable Indicator Examples (but not limited to) ,Timeframe (Can Vary Based on DataSet),Frequency of Updates,Comments/Questions? ,Point of Contact,Relevant URLs,Cited by,,,,,,,,,,,,,,,,,
Centers for Disease Control and Prevention (CDC),National Vital Statistics System Mortality Files on Drug overdose deaths (NVSS-M-DO),https://www.cdc.gov/nchs/nvss/drug-overdose-deaths.htm,Health Data Set,"The National Vital Statistics System collects and shares critical information on deaths from drug overdoses, such as what substances were used and where deaths are happening in America. Our systems receive and analyze data from death certificates, including cause-of-death information reported by medical examiners and coroners. Because drug overdose deaths often require lengthy investigations, data are updated as new information is received.

Information about which drugs were involved in a death comes from the literal text description of the cause of death, which is written on the death certificate by the medical certifier. The cause-of-death literal text is coded to ICD-10 codes for reporting or can be analyzed directly. Drug overdose deaths involving multiple drugs may be included in more than one category in our reporting",States,Data is Reported at State Level,"ICD-10 underlying cause of death, specific substances mentioned in report, non-specific substances mentioned in report",1999-2022,"varies by dataset - monthly, annually",Latest data reports downloadable here: https://www.cdc.gov/nchs/nvss/drug-overdose-deaths.htm#find-our-data,,,,,,,,,,,,,,,,,,,,
Centers for Disease Control and Prevention (CDC),Linked National Hospital Care Survey (NCHS) and National Death Index (NDI) Mortality Data,https://www.cdc.gov/nchs/data-linkage/nhcs-ndi.htm,Health Data Set,"Through its data linkage program, NCHS has been able to expand the analytic utility of the data collected from National Hospital Care Survey (NHCS) by augmenting it with mortality data from the National Death Index (NDI). Linkage of NHCS data with the NDI mortality data provides the opportunity to conduct a vast array of outcome studies designed to investigate the association of a wide variety of health factors with mortality.",,,Day/month/year of birth; day/month/year of death; ICD-10 underlying cause of death; other conditions/comborbidities,2014-2017,"two sets available, not clear if any updated linked files to become available; individual sets are annual files",only available through the NCHS RDC Network https://www.cdc.gov/rdc/index.htm,,,,,,,,,,,,,,,,,,,,
Centers for Disease Control and Prevention (CDC),Linked NHCS and CMS Medicare Master Beneficiary Summary File (MBSF) Data and Linked NHCS and CMS Medicare MBSF Claims/Encounters and Assessment Data,https://www.cdc.gov/nchs/data-linkage/CMS-Medicare-Restricted.htm,Health Data Set,"Through its data linkage program, NCHS has been able to expand the analytic utility of the data collected from the National Hospital Care Survey (NHCS) by augmenting it with administrative data from the Centers for Medicare & Medicaid Services’ (CMS) Medicare program. Linkage of NHCS data with the CMS Medicare Data provides the opportunity to conduct a vast array of studies on health care utilization and expenditures among the elderly U.S. population and persons receiving Medicare disability benefits.

Medicare enrollment and claims/encounters data are available for patient records in the NHCS for which NCHS was able to match with Medicare administrative records. CMS provided NCHS with Medicare enrollment and health care claims/encounters data for all successfully matched patient records.",N/A,Based on Healthcare Facilities,"Patient ambulatory care and inpatient visits - detailed info about hospital characteristics, patients' characteristics, and treatment, includes PII. CMS data includes beneficiary demographic characteristics, reasonf or Medicare entitlement, and program enrollment type - allows for analyses combining comorbidities and utilization of non-inpatient related health care services. ",2014-2017,"two linked sets available, not clear if any updated linked files to become available; individual sets are annual files",Data files can be linked across the different administrative data sources. Only available through the NCHS RDC Network https://www.cdc.gov/rdc/index.htm,,,,,,,,,,,,,,,,,,,,
Centers for Disease Control and Prevention (CDC),NHCS and NDI linked with the National Vital Statistics System mortality files on drug overdose deaths (NVSS-M-DO) file,https://www.cdc.gov/nchs/data/nhcs/opioid_health_outcomes.pdf,Health Data Set,"The dataset includes the following: 1) Merged 2014 NHCS/NDI/NVSS-M-DO, and 2) Merged 2016 NHCS/NDI/NVSS-M-DO. Analysis of this data set will result in a report exploring characteristics of individuals who have opioid-related events, patterns of hospital use in months prior to death, and comparison of patients and services.",N/A,Data Tracked is Not Ongoing,"Patient demographics, care setting, expected source of payment, diagnoses, procedures, beginning/ending service date, length of stay, discharge status, death in hospital, hospital demographics, underlying cause of death, multiple causes of death, date of birth/death, specific substances, drug classes, non-specific substances",2014-2015,"one linked set available, not clear if any updated linked files to become available; individual sets are annual files",only available through the NCHS RDC Network ,,,,,,,,,,,,,,,,,,,,
Centers for Medicare & Medicaid Services (CMS) ,Medicare and Medicaid Claims,https://resdac.org/,Health Data Set,"Patient zip-code level data available in the following datasets: Skilled Nursing Facility (encounter), Outpatient (encounter), Inpatient (encounter), home health agency (encounter), and DME (encounter) - datasets also include info such as diagnostic codes, discharge status, and other patient demographics. Files must be requested d/t idenfiable information (some publicly available datasets but don't have the level of detail that would be needed - typically reported as annual frequencies, not at county level)",County,ZCTA Also Available,"diagnostic codes, discharge status, patient demographics",2015-Present,"varies, annual with 2 year data lag","free public use files contain aggregate level data only available in 0-2 weeks (no cost); limited data sets include de-identified individual-level data, available 2-3 weeks (cost to obtain) and research identifiable sets include individual level data, available 3 - 5 months (higher cost to obtain)",https://resdac.org/research-identifiable-files-rif-requests,,"Liu et al, 2017a",,,,,,,,,,,,,,,,,
Environmental Protection Agency (EPA),BenMAP-Community Edition,https://www.epa.gov/benmap/benmap-community-edition,Health Data Set,"Open-source computer program that calculates the number and economic value of air pollution-related (PM2.5 and O3) deaths and illnesses. Incorporates a database that includes many concentration-response relationships, population files, and health and economic data to quality impacts. Can also add in EPA Air Quality System data to be used along with BenMAP application.",County,,"Modeling includes baseline rates. The Institute for Health Metrics and Evaluation-developed baseline death rates (year 2013) for 4 mortality endpoints (COPD, cerebrovascular disease, ischemic heart disease, and lung cancer) stratified by age and sex.",Current,not noted online,Available for download online: https://www.epa.gov/benmap/benmap-downloads  Includes a quick start guide,,,"Cleland et al, 2021; Neumann et al, 2021; Fann et al, 2018",,,,,,,,,,,,,,,,,
Health and Human Services (HHS),Substance Abuse and Mental Health Services Administration (SAMHSA) Mental Health Client-Level Data (MH-CLD),https://www.samhsa.gov/data/data-we-collect/mh-cld-mental-health-client-level-data,Health Data Set,"MH-CLH and the Mental Health Treatment Episode Data Set (MH-TEDS) provide information on mental health diagnoses and the mental health treatment services, outcomes, and demographic and substance use characteristics of individuals in mental health treatment facilities that report to individual state administrative data systems.",States,,"ICD-10 codes (e.g., asthma, cardiovascular, pregnancy and birth outcomes etc.)",2014-2019,annual,Prospective researchers must submit an RDC application —including a research proposal— that will be reviewed by the SAMHSA RDC team. Applications are accepted continuously and reviewed every week.,RDCA@samhsa.hhs.gov,,,,,,,,,,,,,,,,,,,
Indian Health Service,National Patient Information Reporting System (NPIRS),https://www.ihs.gov/npirs/,Health Data Set,"NPIRS is a database of financial, environmental, engineering, administrative and clinical healthcare information gathered from direct IHS, Tribal and Urban healthcare sites & regional administrative offices throughout the Indian Health systems. Data from over 500 healthcare sites and 12 regional offices in 35 states.",,,"Injury, clinical services",2006-Present,Annually,"Data Access Info: https://www.ihs.gov/npirs/retrieving-data/; Indirect Access – infrequent and recurring routine needs can be requested from the OIT Helpdesk at itsupport@ihs.gov; Direct Access – more frequent, highly variable needs can be addressed through the NPIRS Investment Manager.",itsupport@ihs.gov,,,,,,,,,,,,,,,,,,,
California Health & Human Services Agency (CHHS),CHHS Open Data,https://data.chhs.ca.gov/dataset?page=1,Health Data Set,"439 clinical and administrative datasets available for the state of CA (includes patient discharge data, ED encounters, inpatient characteristics, asthma rates, infectious disease etc.).",County ,California Only ; ZCTA also Available,"varies by dataset (e.g., ICD-10 codes, number of ED vists for asthma, confirmed coccidioidomycosis (valley fever) cases, birthweight etc.)",2014-Present,Typically annual but varies by dataset,"all data are open access and available for download, GeoHub hosts featured datasets",https://data.chhs.ca.gov/dataset,,"Aguilera et al, 2020; Aguilera, 2021; Delfino et al, 2009",,,,,,,,,,,,,,,,,
California Dept of Public Health,Vital Records,https://www.cdph.ca.gov/Programs/CHSI/Pages/Data-and-Statistics-.aspx,Health Data Set,"The birth files include all state registered births, and births to California residents that occurred out-of-state. These files contain detailed demographic information related to the child, mother, and father, as well as medical data related to the birth.  CPHS and VSAC approvals are required to obtain the confidential data fields. The death files are available with in-state California deaths only, a combination of in-state deaths and deaths of California residents that occurred in other states or jurisdictions, or out-of-state deaths only.  CPHS and the VSAC approvals may be required to obtain the death files. In addition, Public Use and Anti-Fraud data files are available.",County,California Only ; Data Available Varies Based on Requested Report,"demographic and medical data related to birth, place of birth; death records include birth/death info, demographics, place and cause of death, includes variable indicating whether death was disaster-related",1970-Present,"varies by dataset (most annually, a few are weekly)",data dictionaries and applications: https://www.cdph.ca.gov/Programs/CHSI/Pages/Data-Applications.aspx,HIRS@cdph.ca.gov,,,,,,,,,,,,,,,,,,,
California Dept of Public Health,California Cancer Registry,https://www.cdph.ca.gov/Programs/CCDPHP/DCDIC/CDSRB/Pages/California-Cancer-Registry.aspx,Health Data Set,The California Cancer Registry (CCR) is California's statewide population-based cancer surveillance system. The CCR collects information about all cancers diagnosed in California (except basal and squamous cell carcinoma of the skin and carcinoma in situ of the cervix). ,Census Tracts ,,"ICD-O codes (e.g., lung cancer, brain tumours, non-Hodgkin lymphoma, multiple myeloma, leukaemia etc.)",1988 - 2019,annually,"data dictionary: https://www.ccrcal.org/download/82/site-pdf-links/7899/california-cancer-registry-research-data-dictionary-march-2020_v1-1.pdf; Access requirements include application, IRB approval and variable list",https://www.ccrcal.org/retrieve-data/data-for-researchers/how-to-request-ccr-data/,,,,,,,,,,,,,,,,,,,
Oregon Health Agency,Oregon State Cancer Registry (OSCaR),https://www.oregon.gov/oha/ph/diseasesconditions/chronicdisease/cancer/oscar/pages/index.aspx,Health Data Set,"The Oregon State Cancer Registry (OSCaR) was established in August 1995, after the Oregon Legislature unanimously passed legislation making cancer a reportable disease. OSCaR is a statewide, population-based registry that collects and analyzes information about cancer cases occurring in Oregon. The mission of the Oregon State Cancer Registry is to collect complete, quality cancer data that supports cancer research and public health practices designed to improve efforts in the screening, treatment and survivorship of all people in Oregon affected by cancer.",State,Oregon Only ; Also Filterable By County ,"ICD-10-CM ( (e.g., lung cancer, brain tumours, non-Hodgkin lymphoma, multiple myeloma, leukaemia etc.)",1995 - 2019,annual ,Application required for data access: https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/CHRONICDISEASE/CANCER/OSCAR/Pages/research.aspx,oscar.ohd@dhsoha.state.or.us,,,,,,,,,,,,,,,,,,,
Washington State Department of Health,Data and Statistical Reports,https://doh.wa.gov/data-and-statistical-reports,Health Data Set,"Data and reports on a variety of health topics including cancer, infectious diseases, environmental health, health behavior, vital statistics, hospital data, injury and poisoning, material and child health.",County ,Washington Only,"demographics, birth  and death records, cancer diagnosis, injury data",,"varies by data set, most annual","Access varies, some datasets have costs to obtain and require data sharing agreements (DSA)",,,,,,,,,,,,,,,,,,,,
Washington State Department of Health,Washington Tracking Network,https://doh.wa.gov/data-statistical-reports/washington-tracking-network-wtn,Health Data Set,"Washington State Department of Health program focused on making public health data more accessible. Data are available for download and exploration using five tools (dashboards, data portal, information by location, community reports). Topic areas: health outcomes and surveillance, demographics and community characteristics, climate change and the environment.",Census Tracts ,,"WA DPH data including BRFS, cancer incidence, birth outcomes etc.",2009-2022,"varies by dataset , some annual",available through the online data portal,DOH.WTN@doh.wa.gov,,,,,,,,,,,,,,,,,,,
Washington State Health Care Authority,Washington State All Payer Claims Database (WA-APCD),https://www.hca.wa.gov/about-hca/washington-state-all-payer-claims-database-wa-apcd,Health Data Set,"The Washington State All Payer Claims Database (WA-APCD) is a tool used to collect health care claims data for reporting, analytics, and to help the public make their health care decisions. It supports health care and payment reform while addressing the need for cost, quality, and utilization transparency. Using the WA-APCD, Washington State can help to advance medicine and public health",States,Washington Only,"ICD-10 and CPT codes (e.g., asthma, cardiovascular,pregnancy and birth outcomes etc.)",2014-Present,annual,Data access for federal agencies described here: https://www.ofm.wa.gov/sites/default/files/public/dataresearch/healthcare/APCD/data_access_under_chapter_43.371_RCW_201707.pdf,apcd@hca.wa.gov,,,,,,,,,,,,,,,,,,,
N/A,Kaiser Permanente (KP) Research Bank,https://researchbank.kaiserpermanente.org/our-research/for-researchers/,Health Data Set,"The Kaiser Permanente (KP) Research Bank is the second largest biobank in the US. It provides an exceptional opportunity to enable research studies related to the prevention, diagnosis and treatment of disease. KP makes this core resource—including de-identified medical record information, a health survey and biospecimens—available to scientists who apply to use the information for genetic, epidemiological, and other scientific research.",N/A ; Data is Broken Up into Cohorts,Data is Broken Up into Cohorts,"EMR data, pregnacny cohort, cancer cohort",2010-2020,varies by data ,Research application process required: https://researchbank.kaiserpermanente.org/wp-content/uploads/2022/06/KPRB-Access-and-Data-Provision-User-Guide.pdf,ResearchBankAccess@kp.org,,"Dohrenwend et al, 2013",,,,,,,,,,,,,,,,,
N/A,IQVIA Real World Datasets,https://www.iqvia.com/solutions/real-world-evidence/real-world-data-and-insights,Health Data Set,"IQVIA proprietary datasets include: Electronic Medical Records (EMR), Longitudinal Prescription (LRx), Claims data, Hospital Data, Genomic Data, Oncology Data, and Biomedical Global data.",,,"EMR data, prescritpions, and claims ",varies by dataset,"varies by dataset; EMR data are collected daily, consolidated monthly",proprietary datasets ,https://www.iqvia.com/solutions/real-world-evidence/real-world-data-and-insights,,,,,,,,,,,,,,,,,,,
IBM,IBM MarketScan,https://marketscan.truvenhealth.com/marketscanportal/,Health Data Set,"A proprietary softward used to conduct healthcare research. Additionally, IBM Marketscan allows the user to interact with cloud-based tools for visual patient analytics and allows for access to the MarketScan Research Data.",,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Optum,Optum Claims Data,https://www.optum.com/business/solutions/life-sciences/real-world-data/claims-data.html,Health Data Set,Integrating and linking deep patient data from multiple real-world sources to clarify and allow for clinical decision making. ,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
NIH,Environmental influences on Child Health Outcomes (ECHO) Program,https://www.nih.gov/echo,Miscellaneous,"In 2016 NIH launched a seven-year initiative called the Environmental influences on Child Health Outcomes (ECHO) Program. ECHO capitalizes on existing participant populations and supports approaches that can evolve with the science and take advantage of the growing number of clinical research networks and technological advances.The ECHO Program has two major components, the ECHO cohorts — for observational research, and the ECHO IDeA States Pediatric Clinical Trials Network (ISPCTN) — for intervention research. The cohorts share standardized core data elements managed by a central coordinating center and an associated data analysis center. Although each cohort is unique, the collection of data in a similar way ensures that all information can be combined and used by researchers. The core elements addressed across all studies are: demographics, typical early health and development,  genetic influences on early childhood health and development, environmental factors, patient/Person (parent and child) Reported Outcomes (PROs). The ECHO cohorts capitalize on existing participant populations that include children from diverse background across the United States, and support approaches that can evolve with the science and take advantage of technological advances. As of May 2022, the cohorts have data from over 100,000 participants, which includes over 61,000 children.",National,,varies by cohort,Program structure: https://echochildren.org/program-structure-at-a-glance/,,,,,,,,,,,,,,,,,,,,,,
EPA,Smoke Sense Study: A Citizen Science Project Using a Mobile App,https://www.epa.gov/air-research/smoke-sense-study-citizen-science-project-using-mobile-app,Miscellaneous,"Smoke Sense is a crowdsourcing, citizen science research project developed by EPA researchers focused on increasing public awareness and engagement related to wildfire smoke health risks. Specifically, EPA wants to understand the extent that exposure to wildland fire smoke affects health and productivity, discover what steps people are willing to take to reduce their exposure, and develop health risk communication strategies that improve public health when there is wildfire smoke. ",ZCTA,Majority of Users in Western US,"ongoing, began in 2017",,,,brown.ann@epa.gov,,,,,,,,,,,,,,,,,,,
NREL,Geospatial Data Science Applications and Visualizations,https://maps.nrel.gov/,Miscellaneous,"The Geospatial Data Science (GDS) group in NREL’s Strategic Energy Analysis Center leads modeling and visualization research at the intersection of renewable energy deployment, geospatial technologies, big data science, and application development.",N/A ; Depedant on Resource Used,Dependant on Resource Used,"Wind, Solar, Biofuels",Current Data,,,https://www.nrel.gov/webmaster.html,,,,,,,,,,,,,,,,,,,
Sonoma  County,Sonoma County Land Use Map,https://sonomacounty.maps.arcgis.com/apps/webappviewer/index.html?id=06ac7fe1b8554171b4682dc141293962,Miscellaneous,"This map provides information about land use in the unincorporate area of Sonoma County including zoning, zoning overly, land use, land development and density. The map is updated based on Sonoma Counties General Plan. ",N/A ; Zones,Data Based on Zoning,Land Use,2020,Dependent on County,,N/A,,,,,,,,,,,,,,,,,,,
USDA,Web Soil Survey,https://websoilsurvey.sc.egov.usda.gov/App/HomePage.htm,Miscellaneous,Web Soil Survey (WSS) provides soil data and information produced by the National Cooperative Soil Survey. It is operated by the USDA Natural Resources Conservation Service (NRCS) and provides access to the largest natural resource information system in the world. NRCS has soil maps and data available online for more than 95 percent of the nation’s counties and anticipates having 100 percent in the near future. The site is updated and maintained online as the single authoritative source of soil survey information.,County,,Soil quality,,Annually,,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/contactus/?cid=nrcs142p2_053951,,,,,,,,,,,,,,,,,,,
N/A,Google Trends,https://trends.google.com/trends/?geo=US,Miscellaneous,Used as a proxy for health outcomes/exposure. Publicy available data that can be used to analyze location-specific variation in search query behavior,States ; Looks at Trends at State Level,State Level Trends,search term popularity; behavior; future purchasing (of protective equipment),Current Data,Weekly,,,,"Burke et al, 2022",,,,,,,,,,,,,,,,,
N/A,Twitter,https://developer.twitter.com/en/developer-terms/agreement,Miscellaneous,Used as proxy for health outcomes/exposure. Geolocated tweets can be downloaded using Twitter's API,N/A,Exact Coordinates Available,sentiment; behavior,Current Data,Unspecified (assumed near-real-time),,,,"Burke et al, 2022",,,,,,,,,,,,,,,,,
N/A,SafeGraph,https://www.safegraph.com/,Miscellaneous,"Used as proxy for health outcome. These data measure the aggregate activity of anonymized device signals, or ‘pings’, at the census block group level. Signals are collected from smartphones, not all cell phones. ",Blocks,,"mobility, migration",Current Data,Datasets updated Monthly,,,,"Burke et al, 2022",,,,,,,,,,,,,,,,,
N/A,Lumosity,https://www.lumosity.com/hcp/research/about,Miscellaneous,"Lumosity hosts a variety of cognitive training ""games"" from which data is available upon request. Researchers used data to assess cogntive impacts of wildfire.",N/A ,,"cognitive performance, attention score",Unspecified,Unspecified,,,,"Cleland et al, 2022",,,,,,,,,,,,,,,,,
CAL Fire,Incident maps,https://www.fire.ca.gov/incidents/,Fire Related Data Set,"Reports of wildfire incidents, acreage burned, and location
- No info about pre- and post-wildfire water bodies 

Emergency Proclamation on Wildlife Risk (Mar 22, 2019)
- Identified 35 priority projects to reduce public safety risks for over 200 of California’s most wildlife-vulnerable communities (vegetation removal) ",County,,,2013-Present,Real Time as Wildfires Occur,,,,,,,,,,,,,,,,,,,,,
USGS,LANDFIRE,https://landfire.gov/,Fire Related Data Set,"Landscape scale geo-spatial products to support cross-boundary planning, management, and operations 
- Real-time tool discerning highest wildfire risks  ",N/A ,Scale is Dependant on Resource Used,"Topographic maps for fuel, vegetation, fire regime, and seasonal",2016-2022,,"Collaborated with US Forest Service on Burned Area Emergency Response (BAER)
- BAER: Within 7 days of fire containment, the BAER Imagery Support Program provides satellite images, burn area severity classifications, and other critical data to BAER teams. One of the team's first tasks in the field is to create a soil burn severity map using BARC data provided by the BAER Imagery Support Program.
- Burned Area Reflectance Classifications (BARC): post-fire vegetation conditions (4 classes) by US Forest Services 

Earth Resources Observation and Science (EROS) Center ",,,,,,,,,,,,,,,,,,,,
USGS,Monitoring Trends in Burn Severity (MTBS),https://www.mtbs.gov/,Fire Related Data Set,MTBS (with Landsat from NASA): interagency program mapping the burn severity and extent of large fires,County,,"Fire name, acreage, ignition date, fire type, fire ID ",1984-2020,Annually but lags 1-2 years behind,https://mtbs.gov/sites/default/files/inline-files/Eidenshink-final.pdf,,,,,,,,,,,,,,,,,,,,
